subject,rho,pval,zscore,task,dataset,age,age_months,movie_FD,Age,AgeGroup1,sex,Unnamed: 0,session
sub-pixar027,-0.0861340163900724,0.0839160839160839,-1.651202946370212,partlycloudy,partlycloudy,,47.868583164,1.238833433979939,3.989048597,U05,F,,
sub-pixar028,0.1715693678623305,0.0019980019980019,3.483890846058435,partlycloudy,partlycloudy,,42.414784392,1.2752685235580845,3.534565366,U05,M,,
sub-pixar029,0.2182449228168226,0.0009990009990009,4.312967053728661,partlycloudy,partlycloudy,,51.712525668000005,0.2989046733125748,4.309377139,U05,M,,
sub-pixar030,0.4368516551609411,0.0009990009990009,8.858962058370615,partlycloudy,partlycloudy,,49.87268994,0.2564917626407185,4.156057495,U05,F,,
sub-pixar031,0.0326343181902112,0.5264735264735265,0.6111422454031943,partlycloudy,partlycloudy,,49.018480487999994,0.4315497477005988,4.084873374,U05,F,,
sub-pixar032,0.1766687060603552,0.0009990009990009,3.413481495696797,partlycloudy,partlycloudy,,65.16,0.4336310066167663,5.43,U06,F,,
sub-pixar033,0.282731009212761,0.0009990009990009,5.832490134890499,partlycloudy,partlycloudy,,69.72,0.1180428026580838,5.81,U06,M,,
sub-pixar034,0.0006542273188357,0.987012987012987,0.0215518865241105,partlycloudy,partlycloudy,,71.88,1.1943431224191616,5.99,U06,M,,
sub-pixar035,-0.0254945071872333,0.5824175824175825,-0.5241143160627065,partlycloudy,partlycloudy,,71.88,0.5986390411257488,5.99,U06,M,,
sub-pixar036,-0.0384760412247108,0.4205794205794206,-0.7742192533999807,partlycloudy,partlycloudy,,64.67999999999999,0.8063125621017962,5.39,U06,F,,
sub-pixar037,0.274957103222,0.0009990009990009,5.691071661525201,partlycloudy,partlycloudy,,66.24,0.5241841140958083,5.52,U06,M,,
sub-pixar038,-0.004086676054852,0.9330669330669332,-0.0582945085323893,partlycloudy,partlycloudy,,66.6,0.3110395736167666,5.55,U06,F,,
sub-pixar039,0.2539979172587056,0.0009990009990009,5.014872079478763,partlycloudy,partlycloudy,,66.48,0.5282225351556887,5.54,U06,M,,
sub-pixar040,0.0886002405503719,0.0719280719280719,1.7925138570058576,partlycloudy,partlycloudy,,63.480000000000004,1.2463550860598804,5.29,U06,M,,
sub-pixar041,0.2585925661774758,0.0009990009990009,5.116272715869813,partlycloudy,partlycloudy,,65.88,0.2493473860826347,5.49,U06,M,,
sub-pixar042,0.2074444972461445,0.0009990009990009,4.164986446339205,partlycloudy,partlycloudy,,60.12,0.5626786516275448,5.01,U06,F,,
sub-pixar043,0.2573508597834001,0.0009990009990009,5.449834012985782,partlycloudy,partlycloudy,,69.48,0.1227264983856287,5.79,U06,M,,
sub-pixar044,0.0570475012076016,0.2667332667332667,1.1375966741161505,partlycloudy,partlycloudy,,69.12,0.5180864483353296,5.76,U06,M,,
sub-pixar045,0.2782750646922398,0.0009990009990009,5.595819153221909,partlycloudy,partlycloudy,,62.16,0.2118927336167665,5.18,U06,M,,
sub-pixar046,0.0599403514140784,0.2517482517482518,1.1610009714952456,partlycloudy,partlycloudy,,71.64,0.9294413271616764,5.97,U06,F,,
sub-pixar047,0.0774282526603482,0.1318681318681318,1.5898722800611154,partlycloudy,partlycloudy,,65.64,0.3059040378668262,5.47,U06,F,,
sub-pixar048,0.1206779831317283,0.0169830169830169,2.4312734461821632,partlycloudy,partlycloudy,,71.88,0.2223195110407186,5.99,U06,M,,
sub-pixar049,0.3432798813736766,0.0009990009990009,6.847637573560766,partlycloudy,partlycloudy,,62.760000000000005,0.2098267041197603,5.23,U06,M,,
sub-pixar050,0.1245181973714521,0.0119880119880119,2.5028297795966705,partlycloudy,partlycloudy,,63.72,0.3903925480171376,5.31,U06,F,,
sub-pixar051,0.0662199157115756,0.1918081918081918,1.2965152565077749,partlycloudy,partlycloudy,,64.56,0.3653611904217966,5.38,U06,M,,
sub-pixar052,0.261735488803745,0.0009990009990009,5.292634542878807,partlycloudy,partlycloudy,,65.52,0.1190120410628742,5.46,U06,F,,
sub-pixar054,0.2745260975091368,0.0009990009990009,5.162746591352499,partlycloudy,partlycloudy,,71.88,0.2783273451760479,5.99,U06,M,,
sub-pixar055,0.1208630067642548,0.0159840159840159,2.390762038200738,partlycloudy,partlycloudy,,69.84,0.1884523276365269,5.82,U06,M,,
sub-pixar056,0.3437938592379705,0.0009990009990009,6.992780758100665,partlycloudy,partlycloudy,,63.12,0.260178808251497,5.26,U06,F,,
sub-pixar057,0.2461246306565143,0.0009990009990009,4.829782981527943,partlycloudy,partlycloudy,,67.92,0.1599654111826347,5.66,U06,F,,
sub-pixar058,0.3211184223948388,0.0009990009990009,6.408814510229804,partlycloudy,partlycloudy,,61.56,0.0919092249356886,5.13,U06,F,,
sub-pixar059,0.1460858268202685,0.0019980019980019,2.888947798671506,partlycloudy,partlycloudy,,66.12,0.3756767880347307,5.51,U06,F,,
sub-pixar060,0.0665816361661178,0.1818181818181818,1.3343161983866014,partlycloudy,partlycloudy,,61.44,0.2261867808520958,5.12,U06,F,,
sub-pixar061,0.2964374573330109,0.0009990009990009,5.903173950531094,partlycloudy,partlycloudy,,66.72,1.5460291384191622,5.56,U06,F,,
sub-pixar062,0.2271114197857681,0.0009990009990009,4.534042683364207,partlycloudy,partlycloudy,,65.52,0.2600831836047903,5.46,U06,F,,
sub-pixar063,0.2366070460598969,0.0009990009990009,4.906890785131618,partlycloudy,partlycloudy,,63.96,0.1610045097856287,5.33,U06,M,,
sub-pixar064,0.2074486833568031,0.0009990009990009,4.147190278825491,partlycloudy,partlycloudy,,65.28,0.6829524119281436,5.44,U06,M,,
sub-pixar065,0.1317862631410002,0.0149850149850149,2.507329066953472,partlycloudy,partlycloudy,,60.239999999999995,0.158589708826946,5.02,U06,F,,
sub-pixar066,0.3118403323140194,0.0009990009990009,6.229025525261897,partlycloudy,partlycloudy,,84.0,0.1816813779688622,7.0,U082,F,,
