Unnamed: 0,measure,region_name,score,task,subject_id,dataset,age_months
83378,TPHATE_DiffOp_IDE,17Networks_LH_DefaultB_PFCd_5,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83379,TPHATE_DiffOp_IDE,17Networks_LH_DefaultB_PFCd_6,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83380,TPHATE_DiffOp_IDE,17Networks_LH_DefaultB_PFCl_1,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83381,TPHATE_DiffOp_IDE,17Networks_LH_DefaultB_PFCl_2,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83382,TPHATE_DiffOp_IDE,17Networks_LH_DefaultB_PFCv_1,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83383,TPHATE_DiffOp_IDE,17Networks_LH_DefaultB_PFCv_2,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83384,TPHATE_DiffOp_IDE,17Networks_LH_DefaultB_PFCv_3,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83385,TPHATE_DiffOp_IDE,17Networks_LH_DefaultB_PFCv_4,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83386,TPHATE_DiffOp_IDE,17Networks_LH_DefaultB_PFCv_5,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83387,TPHATE_DiffOp_IDE,17Networks_LH_DefaultC_IPL_1,8.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83388,TPHATE_DiffOp_IDE,17Networks_LH_DefaultC_Rsp_1,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83389,TPHATE_DiffOp_IDE,17Networks_LH_DefaultC_Rsp_2,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83390,TPHATE_DiffOp_IDE,17Networks_LH_DefaultC_Rsp_3,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83391,TPHATE_DiffOp_IDE,17Networks_LH_DefaultC_PHC_1,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83392,TPHATE_DiffOp_IDE,17Networks_LH_DefaultC_PHC_2,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83393,TPHATE_DiffOp_IDE,17Networks_LH_DefaultC_PHC_3,4.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83394,TPHATE_DiffOp_IDE,17Networks_LH_TempPar_1,6.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83395,TPHATE_DiffOp_IDE,17Networks_LH_TempPar_2,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83396,TPHATE_DiffOp_IDE,17Networks_LH_TempPar_3,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
83397,TPHATE_DiffOp_IDE,17Networks_LH_TempPar_4,5.0,aeronaut,s8687_1_3,infant_restmovie,11.0
